,categorical_accuracy,loss,learning_rate
0,0.3333333432674408,1.1590604782104492,0.0010000000474974513
1,0.5,1.0139461755752563,0.0010000000474974513
2,0.5277777910232544,0.979101836681366,0.0010000000474974513
3,0.4722222089767456,0.9940260648727417,0.0010000000474974513
4,0.6111111044883728,0.9323163628578186,0.0010000000474974513
5,0.6666666865348816,0.8737910389900208,0.0010000000474974513
6,0.6388888955116272,0.7899272441864014,0.0010000000474974513
7,0.5555555820465088,0.9254640936851501,0.0010000000474974513
8,0.5277777910232544,0.940378725528717,0.0010000000474974513
9,0.5555555820465088,0.8824062943458557,0.0010000000474974513
10,0.5,0.9118296504020691,0.0010000000474974513
11,0.5277777910232544,0.8996322154998779,0.0010000000474974513
12,0.6666666865348816,0.8220171332359314,0.0010000000474974513
13,0.6111111044883728,0.8368252515792847,0.0010000000474974513
14,0.5555555820465088,0.8434593677520752,0.0010000000474974513
15,0.6111111044883728,0.8083585500717163,0.0010000000474974513
16,0.5833333134651184,0.8154871463775635,0.0010000000474974513
17,0.5833333134651184,0.8409864902496338,0.0010000000474974513
18,0.6111111044883728,0.7873544096946716,0.0010000000474974513
19,0.5277777910232544,0.8135251402854919,0.0010000000474974513
20,0.5555555820465088,0.863078773021698,0.0010000000474974513
21,0.7222222089767456,0.7587254047393799,0.0010000000474974513
22,0.75,0.6894896626472473,0.0010000000474974513
23,0.5277777910232544,0.8779099583625793,0.0010000000474974513
24,0.6111111044883728,0.7730153203010559,0.0010000000474974513
25,0.6388888955116272,0.7792729735374451,0.0010000000474974513
26,0.6666666865348816,0.721993088722229,0.0010000000474974513
27,0.6666666865348816,0.7587919235229492,0.0010000000474974513
28,0.6388888955116272,0.7469746470451355,0.0010000000474974513
29,0.6111111044883728,0.8354380130767822,0.0010000000474974513
30,0.6388888955116272,0.7701839208602905,0.0010000000474974513
31,0.6944444179534912,0.6662521362304688,0.0010000000474974513
32,0.75,0.8437908887863159,0.0010000000474974513
33,0.75,0.8154633045196533,0.0010000000474974513
34,0.5555555820465088,0.6923093795776367,0.0010000000474974513
35,0.7777777910232544,0.6428592205047607,0.0010000000474974513
36,0.6944444179534912,0.6851325631141663,0.0010000000474974513
37,0.6666666865348816,0.6957046985626221,0.0010000000474974513
38,0.5833333134651184,0.8032698631286621,0.0010000000474974513
39,0.5833333134651184,0.7993268966674805,0.0010000000474974513
40,0.75,0.6222745180130005,0.0010000000474974513
41,0.8055555820465088,0.589088499546051,0.0010000000474974513
42,0.6111111044883728,0.756960928440094,0.0010000000474974513
43,0.6944444179534912,0.6210575103759766,0.0010000000474974513
44,0.5833333134651184,0.9065213799476624,0.0010000000474974513
45,0.8611111044883728,0.5670229196548462,0.0010000000474974513
46,0.8055555820465088,0.6205097436904907,0.0010000000474974513
47,0.7777777910232544,0.6032625436782837,0.0010000000474974513
48,0.6666666865348816,0.6413429379463196,0.0010000000474974513
49,0.8333333134651184,0.6148642301559448,0.0010000000474974513
50,0.8055555820465088,0.5656096935272217,0.0010000000474974513
51,0.7222222089767456,0.5615746974945068,0.0010000000474974513
52,0.7222222089767456,0.5639613270759583,0.0010000000474974513
53,0.8888888955116272,0.47391781210899353,0.0010000000474974513
54,0.8611111044883728,0.42939984798431396,0.0010000000474974513
55,0.75,0.5474972128868103,0.0010000000474974513
56,0.7222222089767456,0.6967635750770569,0.0010000000474974513
57,0.8611111044883728,0.5417546629905701,0.0010000000474974513
58,0.7222222089767456,0.6894606351852417,0.0010000000474974513
59,0.6111111044883728,0.6875261664390564,0.0010000000474974513
60,0.75,0.5574514865875244,0.0010000000474974513
61,0.7777777910232544,0.6519964337348938,0.0010000000474974513
62,0.8055555820465088,0.5962839722633362,0.0010000000474974513
63,0.6944444179534912,0.662940263748169,0.0010000000474974513
64,0.8055555820465088,0.5122283101081848,0.0010000000474974513
65,0.7222222089767456,0.5756601095199585,0.0010000000474974513
66,0.8611111044883728,0.48874175548553467,0.0010000000474974513
67,0.8055555820465088,0.47706449031829834,0.0010000000474974513
68,0.7222222089767456,0.5974352359771729,0.0010000000474974513
69,0.75,0.5320305228233337,0.0010000000474974513
70,0.8055555820465088,0.5261297225952148,0.0010000000474974513
71,0.75,0.5074517726898193,0.0010000000474974513
72,0.8333333134651184,0.4654219448566437,0.0010000000474974513
73,0.8611111044883728,0.47669950127601624,0.0010000000474974513
74,0.6388888955116272,0.6232283115386963,0.0010000000474974513
75,0.8055555820465088,0.4980625510215759,0.0010000000474974513
76,0.8333333134651184,0.49701499938964844,0.0010000000474974513
77,0.7777777910232544,0.5878478288650513,0.0010000000474974513
78,0.8333333134651184,0.511288583278656,0.0010000000474974513
79,0.8055555820465088,0.48675552010536194,0.0010000000474974513
80,0.7777777910232544,0.5349911451339722,0.0010000000474974513
81,0.8055555820465088,0.484150767326355,0.0010000000474974513
82,0.8888888955116272,0.44048550724983215,0.0010000000474974513
83,0.8333333134651184,0.47809839248657227,0.0010000000474974513
84,0.8611111044883728,0.47176578640937805,0.0010000000474974513
85,0.8055555820465088,0.5362889766693115,0.0010000000474974513
86,0.8888888955116272,0.450309693813324,0.0010000000474974513
87,0.7222222089767456,0.5961629152297974,0.0010000000474974513
88,0.8888888955116272,0.4103173017501831,0.0010000000474974513
89,0.9166666865348816,0.39999088644981384,0.0010000000474974513
90,0.8055555820465088,0.5670905709266663,0.0010000000474974513
91,0.8055555820465088,0.49712419509887695,0.0010000000474974513
92,0.6944444179534912,0.696663498878479,0.0010000000474974513
93,0.8333333134651184,0.5785237550735474,0.0010000000474974513
94,0.8055555820465088,0.4725562334060669,0.0010000000474974513
95,0.8888888955116272,0.4134310483932495,0.0010000000474974513
96,0.8888888955116272,0.3443341851234436,0.0010000000474974513
97,0.6944444179534912,0.5051048398017883,0.0010000000474974513
98,0.7222222089767456,0.6185705065727234,0.0010000000474974513
99,0.6388888955116272,0.6079545021057129,0.0010000000474974513
100,0.8333333134651184,0.5085625648498535,0.0010000000474974513
101,0.8888888955116272,0.43952053785324097,0.0010000000474974513
102,0.8055555820465088,0.48615777492523193,0.0010000000474974513
103,0.75,0.49631330370903015,0.0010000000474974513
104,0.9444444179534912,0.3464091420173645,0.0010000000474974513
105,0.8611111044883728,0.40353938937187195,0.0010000000474974513
106,0.8888888955116272,0.36440175771713257,0.0010000000474974513
107,0.8333333134651184,0.40515491366386414,0.0010000000474974513
108,0.8333333134651184,0.34995028376579285,0.0010000000474974513
109,0.75,0.5432417392730713,0.0010000000474974513
110,0.8333333134651184,0.4336470067501068,0.0010000000474974513
111,0.8611111044883728,0.3541555404663086,0.0010000000474974513
112,0.8888888955116272,0.37816673517227173,0.0010000000474974513
113,0.8611111044883728,0.4014211893081665,0.0010000000474974513
114,0.8333333134651184,0.526165246963501,0.0010000000474974513
115,0.8611111044883728,0.3690400719642639,0.0010000000474974513
116,0.9166666865348816,0.3509185016155243,0.0010000000474974513
117,0.8055555820465088,0.4165216088294983,0.0010000000474974513
118,0.8888888955116272,0.39509257674217224,0.0010000000474974513
119,0.7222222089767456,0.5152456760406494,0.0010000000474974513
120,0.8888888955116272,0.33093392848968506,0.0010000000474974513
121,0.8888888955116272,0.32630014419555664,0.0010000000474974513
122,0.8055555820465088,0.49973827600479126,0.0010000000474974513
123,0.8888888955116272,0.3162079155445099,0.0010000000474974513
124,0.8611111044883728,0.38727885484695435,0.0010000000474974513
125,0.7222222089767456,0.5371037125587463,0.0010000000474974513
126,0.9166666865348816,0.3662493824958801,0.0010000000474974513
127,0.8888888955116272,0.3736470937728882,0.0010000000474974513
128,0.75,0.4598771631717682,0.0010000000474974513
129,0.9722222089767456,0.33343374729156494,0.0010000000474974513
130,0.8888888955116272,0.33001944422721863,0.0010000000474974513
131,0.8888888955116272,0.4033803939819336,0.0010000000474974513
132,0.8611111044883728,0.3653622567653656,0.0010000000474974513
133,0.8888888955116272,0.29807430505752563,0.0010000000474974513
134,0.9166666865348816,0.3111177682876587,0.0010000000474974513
135,0.9166666865348816,0.3347567319869995,0.0010000000474974513
136,0.9166666865348816,0.28159481287002563,0.0010000000474974513
137,0.8333333134651184,0.3651597499847412,0.0010000000474974513
138,0.9444444179534912,0.3021150231361389,0.0010000000474974513
139,0.9166666865348816,0.2627984285354614,0.0010000000474974513
140,0.9444444179534912,0.2620936632156372,0.0010000000474974513
141,0.8055555820465088,0.3846029043197632,0.0010000000474974513
142,0.9444444179534912,0.27938222885131836,0.0010000000474974513
143,0.75,0.5027043223381042,0.0010000000474974513
144,0.9166666865348816,0.35966378450393677,0.0010000000474974513
145,0.9166666865348816,0.31627729535102844,0.0010000000474974513
146,0.8333333134651184,0.43406587839126587,0.0010000000474974513
147,0.8888888955116272,0.29147830605506897,0.0010000000474974513
148,0.9722222089767456,0.2442244440317154,0.0010000000474974513
149,0.9444444179534912,0.2716822624206543,0.0010000000474974513
150,0.9166666865348816,0.31281358003616333,0.0010000000474974513
151,0.9444444179534912,0.2088763266801834,0.0010000000474974513
152,0.8611111044883728,0.3390409052371979,0.0010000000474974513
153,0.9166666865348816,0.42836272716522217,0.0010000000474974513
154,0.9166666865348816,0.24432533979415894,0.0010000000474974513
155,0.8611111044883728,0.3581284284591675,0.0010000000474974513
156,0.8611111044883728,0.3608100712299347,0.0010000000474974513
157,0.8888888955116272,0.4169284403324127,0.0010000000474974513
158,0.8888888955116272,0.3977488875389099,0.0010000000474974513
159,0.8055555820465088,0.4950825273990631,0.0010000000474974513
160,0.8611111044883728,0.43852752447128296,0.0010000000474974513
161,0.8611111044883728,0.419725239276886,0.0010000000474974513
162,0.9444444179534912,0.27746933698654175,0.0010000000474974513
163,0.9722222089767456,0.30604320764541626,0.0010000000474974513
164,0.8888888955116272,0.32153403759002686,0.0010000000474974513
165,0.9166666865348816,0.3011236786842346,0.0010000000474974513
166,0.9166666865348816,0.2786480784416199,0.0010000000474974513
167,0.8888888955116272,0.3198554217815399,0.0010000000474974513
168,0.9166666865348816,0.3251494765281677,0.0010000000474974513
169,0.8611111044883728,0.38323163986206055,0.0010000000474974513
170,0.9722222089767456,0.218115895986557,0.0010000000474974513
171,0.9166666865348816,0.29132774472236633,0.0010000000474974513
172,0.8888888955116272,0.4299119710922241,0.0010000000474974513
173,0.8888888955116272,0.34682002663612366,0.0010000000474974513
174,1.0,0.24450060725212097,0.0010000000474974513
175,0.9722222089767456,0.17879730463027954,0.0010000000474974513
176,0.8611111044883728,0.25293582677841187,0.0010000000474974513
177,0.9166666865348816,0.27404534816741943,0.0010000000474974513
178,0.8888888955116272,0.31394699215888977,0.0010000000474974513
179,0.9166666865348816,0.32603368163108826,0.0010000000474974513
180,0.8888888955116272,0.29877209663391113,0.0010000000474974513
181,0.8888888955116272,0.3760742247104645,0.0010000000474974513
182,0.8611111044883728,0.4222909212112427,0.0010000000474974513
183,0.9444444179534912,0.33237677812576294,0.0010000000474974513
184,0.9722222089767456,0.27744829654693604,0.0010000000474974513
